name,ra,dec,vmag
Mothallah,28.2704392446,29.5788186697,3.4200
,266.6147804003,27.7207113830,3.4200
Sheliak,282.5199797676,33.3626667698,3.4200
,22.0913695203,-43.3182347392,3.4200
,207.4041195302,-42.4737334087,3.4300
,286.5622443926,-4.8825627459,3.4300
,119.1946670558,-52.9823454630,3.4310
Andromeda,10.6847083333,41.2687500000,3.4400
Achird,12.2762274762,57.8151772888,3.4400
,17.1474638852,-10.1822644267,3.4500
,149.2155868707,-54.5677881900,3.4500
Tania Borealis,154.2740802357,42.9144138052,3.4500
,276.7434017668,-45.9684577547,3.4630
,342.1387419230,-51.3168648120,3.4660
,105.4297835019,-27.9348303404,3.4700
Kaffaljidhma,40.8251628981,3.2358163765,3.4700
lambda Ori X-3,83.7844836696,9.9341642573,3.4700
,299.6892842932,19.4921461305,3.4700
Sadalbari,342.5008044784,24.6015812835,3.4800
,233.7851616292,-41.1667919500,3.4800
,228.8756784169,33.3148312422,3.4900
,190.4147607687,-1.4494021269,3.4900
Alula Borealis,169.6197383593,33.0943060702,3.4900
,26.0170130716,-15.9374798910,3.5000
,250.7240206061,38.9222549196,3.5000
,284.4325007887,-21.1066575943,3.5100
,233.7849104292,-41.1667677500,3.5100
,264.3966658270,-15.3985557636,3.5190
Altarf,124.1288374535,9.1855439571,3.5200
Subra,145.2876340589,9.8923078962,3.5200
Nekkar,225.4865096019,40.3905685705,3.5200
,86.7389223528,-14.8219501585,3.5250
,214.8509215039,-46.0580942590,3.5290
Ain,67.1541677297,19.1804342058,3.5300
Wasat,110.0307273575,21.9823040496,3.5300
,237.4050290160,-3.4302043802,3.5300
,40.8251715933,3.2358241460,3.5400
Rana,55.8120855748,-9.7633919322,3.5400
,173.2504788776,-31.8576244376,3.5400
,342.4200728828,66.2004050535,3.5400
,253.0839388325,-38.0175349553,3.5420
,230.4515399880,-36.2613732903,3.5460
,191.5699956208,-68.1080999894,3.5500
,135.9063650740,47.1565247272,3.5500
,4.8569766454,-8.8239191598,3.5500
Biham,332.5499525505,6.1979215882,3.5500
,109.5232454981,16.5403859948,3.5590
,64.4735933352,-33.7983478912,3.5600
,169.8351972981,-14.7785398360,3.5600
,302.1817036317,-66.1820674359,3.5600
,34.1274420486,-51.5121651630,3.5700
,24.4981584331,48.6282119630,3.5700
,116.1118492175,24.3979964697,3.5700
,185.3400338907,-60.4011481306,3.5700
,275.2640939543,72.7328477236,3.5800
Algedi,304.5135649821,-12.5448521202,3.5800
,266.4332816549,-64.7238714647,3.5810
,234.2560370687,-28.1351104615,3.5890
,21.0058470068,-8.1832608973,3.5900
,217.9574555385,30.3714365701,3.5900
,79.4016263992,-6.8444074404,3.5900
,81.1192392009,-2.3971469509,3.5900
,42.4959718358,27.2605072272,3.5940
Zavijava,177.6738271494,1.7647226498,3.6000
,86.1157942373,-22.4483854878,3.6000
,51.2033263271,9.0288696200,3.6000
,103.1972452607,33.9612567605,3.6000
,142.6749982342,-40.4667393451,3.6000
SDG,283.8292000000,-30.5453000000,3.6000
Coathanger,291.3500000000,20.1833333333,3.6000
,108.4808333333,-30.6986111111,3.6000
,152.6470357548,-12.3541274788,3.6100
,116.3137338914,-37.9685852599,3.6100
,195.5677357143,-71.5488589813,3.6100
Alpherg,22.8708674501,15.3458318425,3.6200
,262.7746399746,-60.6838449552,3.6200
,345.4802708143,42.3260155182,3.6200
